Date,Open,High,Low,Close,Adj Close,Volume
2020-04-15,53.800304,54.963245,53.127804,53.153870,53.153870,127558965
2020-04-16,53.186146,57.129799,51.976421,56.884686,56.884686,130989658
2020-04-17,56.916286,57.298985,56.233635,56.552799,56.552799,110124030
2020-04-18,56.498360,58.409184,56.243336,57.972260,57.972260,114264444
2020-04-19,57.945591,58.569260,57.084675,57.447842,57.447842,108020970
2020-04-20,57.457672,58.492729,54.507538,55.070011,55.070011,113779664
2020-04-21,54.978615,55.628529,54.466457,55.377457,55.377457,101994360
2020-04-22,55.312836,57.184490,55.017513,56.836723,56.836723,101247964
2020-04-23,56.843330,59.920334,56.448460,58.821960,58.821960,107540688
2020-04-24,58.931332,62.056660,58.908360,60.968952,60.968952,116367364
2020-04-25,60.942570,61.983536,60.239483,60.725075,60.725075,102455403
2020-04-26,60.759430,61.775505,60.579044,61.228275,61.228275,95013548
2020-04-27,61.223484,62.507793,61.222137,62.391323,62.391323,97849932
2020-04-28,62.390366,63.791515,61.609180,62.500546,62.500546,110007751
2020-04-29,62.533855,66.983131,62.084862,66.545959,66.545959,146559090
2020-04-30,66.527214,68.365967,61.982681,62.479301,62.479301,146714147
2020-05-01,62.481358,65.090691,62.467377,63.768688,63.768688,105952990
2020-05-02,63.762905,65.144882,63.762905,64.621971,64.621971,90574303
2020-05-03,64.663620,65.145195,62.101971,62.441116,62.441116,93103079
2020-05-04,62.439548,62.792797,59.043713,61.251541,61.251541,106891678
2020-05-05,61.289768,61.977139,60.004433,60.377350,60.377350,96201776
2020-05-06,60.298664,62.087048,58.536285,58.536285,58.536285,110256062
2020-05-07,58.671791,64.788994,58.173176,64.545692,64.545692,138695139
2020-05-08,64.479843,65.784073,63.402447,63.703495,63.703495,127093700
2020-05-09,63.618622,64.824875,62.866993,63.239220,63.239220,98564079
2020-05-10,63.252075,63.252075,55.443089,58.858376,58.858376,122447899
2020-05-11,58.822826,61.360535,56.633011,59.560589,59.560589,126280816
2020-05-12,59.626144,62.001850,59.309174,61.434505,61.434505,96195506
2020-05-13,61.477215,65.985954,61.386475,64.866486,64.866486,124797980
2020-05-14,64.795906,66.098274,62.652088,65.421814,65.421814,133001582
2020-05-15,65.519470,66.317345,62.815292,62.874229,62.874229,86992618
2020-05-16,62.969875,65.722504,62.342430,65.357918,65.357918,80487573
2020-05-17,65.339317,66.977684,64.930641,65.212204,65.212204,77806647
2020-05-18,65.213043,67.700851,65.074242,67.028381,67.028381,115135484
2020-05-19,67.047691,67.335083,65.391396,66.462883,66.462883,91126914
2020-05-20,66.431168,67.000214,64.176758,64.713722,64.713722,78167576
2020-05-21,64.714333,65.013832,60.353317,61.787292,61.787292,76233560
2020-05-22,61.779400,63.611713,61.358177,63.154388,63.154388,78674215
2020-05-23,63.169857,64.949295,62.670181,63.837982,63.837982,71353733
2020-05-24,63.834057,63.849304,61.193382,61.193382,61.193382,66759857
2020-05-25,61.097298,62.239166,60.434010,61.628452,61.628452,68863746
2020-05-26,61.647945,62.490643,60.966530,61.809380,61.809380,67047717
2020-05-27,61.846897,65.612717,61.593174,64.550690,64.550690,82741303
2020-05-28,64.567940,67.310493,63.482716,67.072647,67.072647,90819942
2020-05-29,67.053566,67.780861,65.935806,66.238602,66.238602,91611440
2020-05-30,66.220795,68.575317,65.461098,68.356483,68.356483,93931827
2020-05-31,68.364571,68.451485,64.404808,65.065262,65.065262,94692776
2020-06-01,65.058159,68.094543,63.740898,67.639404,67.639404,110295490
2020-06-02,67.641335,70.055283,64.840271,66.489967,66.489967,104360974
2020-06-03,66.499298,68.164772,66.449554,67.132645,67.132645,79429170
2020-06-04,67.159943,68.653084,65.831490,68.189545,68.189545,77902720
2020-06-05,68.216599,69.183228,67.242752,67.694962,67.694962,63952401
2020-06-06,67.698158,68.158218,67.288849,67.601418,67.601418,57757849
2020-06-07,67.621529,68.161690,64.735588,66.610397,66.610397,69552239
2020-06-08,66.605209,68.259750,66.338326,68.231392,68.231392,64946265
2020-06-09,68.258881,68.566315,67.673035,68.275246,68.275246,56011063
2020-06-10,68.266403,69.766426,67.405029,69.648697,69.648697,68572680
2020-06-11,69.649284,70.045120,63.614857,63.919361,63.919361,72190681
2020-06-12,63.927643,66.507095,63.265614,65.832939,65.832939,63717399
2020-06-13,65.864059,66.678642,65.209312,66.615349,66.615349,54550213
2020-06-14,66.606361,66.614037,64.968948,65.733429,65.733429,54717590
2020-06-15,65.737862,65.943336,62.165848,64.695717,64.695717,75859953
2020-06-16,64.653442,66.035500,64.442192,65.944977,65.944977,66113216
2020-06-17,65.951012,66.670708,65.061775,65.204575,65.204575,72558345
2020-06-18,65.201157,65.817307,64.455444,65.077942,65.077942,68676380
2020-06-19,65.084557,65.218170,63.684639,63.934765,63.934765,71873037
2020-06-20,63.934765,64.762123,63.381882,63.940842,63.940842,64316630
2020-06-21,63.935013,65.138824,63.790520,64.548912,64.548912,60392361
2020-06-22,64.581818,66.314034,64.334389,65.929176,65.929176,82556416
2020-06-23,65.943993,67.273705,65.212120,66.947510,66.947510,85517277
2020-06-24,66.981041,67.479546,64.314323,64.867310,64.867310,72674399
2020-06-25,64.916016,65.085403,63.570469,64.381592,64.381592,68046486
2020-06-26,64.350822,64.646973,63.291454,63.981968,63.981968,63054728
2020-06-27,63.966740,64.504845,61.063549,62.335659,62.335659,61079906
2020-06-28,62.335659,63.785763,62.104710,63.314903,63.314903,54082128
2020-06-29,63.436996,64.823036,62.565331,64.185310,64.185310,63712363
2020-06-30,64.168022,64.781433,63.336224,63.536777,63.536777,64386025
2020-07-01,63.538815,64.774788,63.324459,64.605927,64.605927,64478705
2020-07-02,64.582672,66.958290,63.026028,65.893074,65.893074,95975517
2020-07-03,65.843529,65.909584,62.538097,62.747787,62.747787,85530135
2020-07-04,62.732716,64.773033,62.646305,64.134361,64.134361,68098224
2020-07-05,64.032333,64.507141,61.695324,63.220116,63.220116,76099632
2020-07-06,63.220116,65.024529,62.781086,64.876259,64.876259,74125362
2020-07-07,64.851631,65.067184,63.562450,64.531120,64.531120,55858559
2020-07-08,64.560379,67.106522,64.327950,66.248627,66.248627,88617288
2020-07-09,66.252586,68.964958,65.355011,67.631966,67.631966,93161220
2020-07-10,67.585396,68.325569,65.332359,67.314415,67.314415,95885590
2020-07-11,67.293747,69.570297,67.171333,68.735260,68.735260,89142317
2020-07-12,68.762222,70.240707,68.280617,69.133720,69.133720,93942131
2020-07-13,69.133720,69.930595,68.114220,69.279694,69.279694,87455836
2020-07-14,69.163315,69.163315,67.018639,67.922226,67.922226,67807825
2020-07-15,67.830566,72.524948,67.476494,70.602638,70.602638,97547877
2020-07-16,70.567780,71.408089,66.733116,67.645721,67.645721,85426392
2020-07-17,67.643616,68.176994,67.074646,67.607719,67.607719,51519232
2020-07-18,67.608543,69.018585,67.054604,68.257172,68.257172,52913522
2020-07-19,68.252899,69.039291,67.682129,68.772476,68.772476,49400376
2020-07-20,68.783226,70.168495,68.725838,69.313507,69.313507,55897246
2020-07-21,69.298981,71.509125,69.072296,69.586372,69.586372,70450705
2020-07-22,69.572044,71.486382,69.342949,71.461845,71.461845,62044445
2020-07-23,71.467194,73.866539,70.889381,72.860657,72.860657,82557920
2020-07-24,72.840118,72.987541,71.387375,71.579620,71.579620,73201966
2020-07-25,71.582016,73.849380,71.500771,73.463562,73.463562,60151560
2020-07-26,73.461342,78.007637,73.085609,77.942444,77.942444,86834241
2020-07-27,77.944534,79.605003,75.078918,78.490158,78.490158,119661660
2020-07-28,78.415245,83.184464,78.362923,81.306328,81.306328,133640096
2020-07-29,81.298737,82.755028,79.118599,79.145859,79.145859,93331670
2020-07-30,79.167534,82.579353,78.924538,81.089920,81.089920,72088890
2020-07-31,81.075989,84.581604,80.485283,84.464775,84.464775,77343250
2020-08-01,84.464775,89.539024,83.529236,89.256760,89.256760,111518764
2020-08-02,89.296173,90.534874,82.163300,84.967400,84.967400,125411756
2020-08-03,84.921577,89.714317,84.159607,89.112999,89.112999,98801252
2020-08-04,89.099243,89.783752,85.871719,87.263763,87.263763,85392513
2020-08-05,87.267616,90.723198,86.326698,90.477699,90.477699,80729377
2020-08-06,90.482506,96.435616,88.745293,95.610970,95.610970,116231184
2020-08-07,95.549446,95.581947,90.512268,94.103424,94.103424,216791739
2020-08-08,94.160851,95.302689,92.093529,94.880318,94.880318,67833222
2020-08-09,94.852341,94.997345,92.643570,93.056572,93.056572,68854565
2020-08-10,93.114105,94.665672,91.122368,93.755051,93.755051,89731157
2020-08-11,93.794113,95.267685,84.684845,87.458679,87.458679,167105849
2020-08-12,87.480354,90.469154,84.513718,90.294518,90.294518,69702889
2020-08-13,90.283119,93.070435,86.257126,92.792824,92.792824,84264770
2020-08-14,92.794106,93.321388,90.161911,91.438103,91.438103,92896330
2020-08-15,91.430428,91.792282,89.730293,90.047127,90.047127,76569014
2020-08-16,90.073868,91.320694,88.412277,91.220230,91.220230,64177487
2020-08-17,91.220230,94.646729,89.786858,93.359146,93.359146,83192011
2020-08-18,93.371399,97.146873,92.087234,93.520096,93.520096,119998363
2020-08-19,93.470161,94.493988,89.550629,91.277451,91.277451,109367601
2020-08-20,91.253639,101.311401,91.253639,101.311401,101.311401,153441643
2020-08-21,101.362839,105.522514,92.521652,92.569595,92.569595,173157306
2020-08-22,92.543495,94.818001,89.117485,94.739082,94.739082,96380021
2020-08-23,94.614746,94.739265,90.690323,91.312607,91.312607,69274694
2020-08-24,91.355560,94.327766,90.572464,93.939880,93.939880,81919624
2020-08-25,93.904556,94.072563,86.647713,88.828781,88.828781,105150068
2020-08-26,88.758324,89.727142,87.610916,89.123993,89.123993,89871232
2020-08-27,89.092720,90.547386,86.175095,89.539352,89.539352,101423062
2020-08-28,89.567818,94.962318,88.947418,94.359978,94.359978,116665533
2020-08-29,94.356506,95.702751,92.576752,92.818970,92.818970,103879637
